,PS:AL KHABOURAH 01,,,,,,,
Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I
,,,,,,,,
2025-03-06 11,51.32,53.21,46.23,2.77,31.76,43.55,,38.73
2025-03-06 12,55.96,58.36,48.83,,34.06,46.51,35.76,43.92
2025-03-06 13,63.49,59.93,51.96,3.22,32.93,48.59,36.05,50.42
2025-03-06 14,,,48.71,3.02,36.18,38.51,36.31,52.06
2025-03-06 15,58.01,58.41,50.70,,39.83,,33.08,
2025-03-06 16,67.37,60.44,,3.06,,45.97,32.48,56.16
2025-03-06 17,,,48.21,2.94,44.96,,30.53,54.77
2025-03-06 18,65.64,58.51,,2.93,45.38,45.10,,54.42
2025-03-06 19,71.03,,56.24,,45.56,56.57,28.89,52.40
2025-03-06 20,69.85,54.05,,3.00,43.26,56.38,35.44,47.77
2025-03-06 21,,50.50,57.09,2.96,44.94,56.00,,
2025-03-06 22,66.64,,56.12,3.00,44.64,,33.33,42.23
2025-03-06 23,,50.45,54.17,,41.62,52.96,,45.59
2025-03-07 00,61.38,,49.60,3.33,37.97,48.44,32.27,47.90
2025-03-07 01,60.85,52.91,43.13,3.63,,44.49,29.53,50.92
2025-03-07 02,57.29,50.13,40.64,,25.06,42.28,26.84,
2025-03-07 03,55.78,,36.14,3.50,26.12,40.04,24.54,48.66
2025-03-07 04,52.94,48.68,,4.15,26.43,37.38,22.79,
2025-03-07 05,51.78,48.83,33.44,4.38,,35.19,22.85,44.71
2025-03-07 06,,46.03,30.10,,26.31,30.72,20.04,42.35
2025-03-07 07,47.37,,,3.98,,,,
2025-03-07 08,52.62,51.52,30.75,,29.39,33.50,22.49,50.33
2025-03-07 09,57.32,58.58,43.98,3.75,30.06,37.69,27.83,50.76
2025-03-07 10,68.84,63.65,47.16,3.91,30.66,42.63,33.00,54.29
2025-03-07 11,69.98,,52.17,3.60,30.48,47.05,31.20,58.58
2025-03-07 12,66.15,61.13,,,,,,
2025-03-07 13,64.09,55.48,49.84,3.31,31.13,44.65,30.95,49.22
2025-03-07 14,,60.03,52.41,3.06,39.95,,,50.69
2025-03-07 15,62.77,,52.30,,40.46,42.79,33.56,56.16
2025-03-07 16,69.39,63.27,53.21,2.86,,47.73,,59.28
2025-03-07 17,74.84,56.59,50.58,2.86,44.25,49.04,32.26,
2025-03-07 18,,54.52,,2.96,,,,54.71
2025-03-07 19,72.04,54.48,53.78,3.69,42.00,54.68,27.54,
