,PS:AL KHABOURAH 01,,,,,,,
Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I
,,,,,,,,
2025-04-01 17,81.29,76.80,58.73,4.34,42.28,59.26,37.79,66.65
2025-04-01 18,85.71,77.93,,,44.43,,35.29,70.21
2025-04-01 19,,,63.84,4.45,,68.72,34.88,
2025-04-01 20,84.13,70.80,60.46,3.87,43.64,61.00,31.77,62.27
2025-04-01 21,86.21,70.39,,3.52,,,30.21,
2025-04-01 22,,71.31,58.08,,42.83,58.24,,61.26
2025-04-01 23,86.68,75.59,55.84,4.53,37.85,61.35,35.41,71.30
2025-04-02 00,96.74,86.55,,6.83,25.39,66.98,38.85,76.07
2025-04-02 01,99.96,86.25,55.01,7.43,,,41.66,76.95
2025-04-02 02,,,,7.78,25.72,68.19,,76.12
2025-04-02 03,91.76,83.87,53.01,6.56,26.91,64.81,40.87,74.52
2025-04-02 04,88.64,,49.54,6.45,28.74,64.47,37.79,70.56
2025-04-02 05,78.91,82.09,46.10,,,58.52,34.47,
2025-04-02 06,73.48,,,6.15,25.96,50.25,,63.01
2025-04-02 07,,74.65,43.61,5.41,,,29.74,69.25
2025-04-02 08,77.76,82.33,49.94,6.45,32.62,54.29,44.80,70.86
2025-04-02 09,83.98,82.03,61.04,6.14,39.54,54.96,45.69,
2025-04-02 10,90.30,81.92,68.22,,40.72,59.30,,68.40
2025-04-02 11,93.11,,,5.80,,57.88,38.26,
2025-04-02 12,105.81,82.87,68.59,4.89,44.42,67.91,40.14,69.91
2025-04-02 13,,89.78,62.96,,43.04,,,78.87
2025-04-02 14,109.43,,,5.99,43.67,67.61,38.31,77.00
2025-04-02 15,112.49,98.13,67.63,5.13,53.21,77.77,43.52,92.49
2025-04-02 16,106.54,101.33,77.76,5.55,52.28,77.07,46.19,77.95
2025-04-02 17,94.34,80.98,,,,,39.14,
2025-04-02 18,103.47,,69.36,3.71,52.02,69.42,38.35,73.14
2025-04-02 19,,85.05,80.00,4.60,,80.80,,64.90
2025-04-02 20,94.25,78.08,68.95,,48.96,71.34,35.96,60.30
2025-04-02 21,97.27,,65.89,3.66,44.49,69.26,35.67,
2025-04-02 22,,72.98,,4.15,45.50,65.61,,58.77
2025-04-02 23,101.46,77.58,62.05,5.11,44.42,,36.40,70.80
2025-04-03 00,104.64,84.89,58.11,,27.70,76.61,41.57,82.69
2025-04-03 01,100.33,87.26,56.63,6.23,,74.34,44.65,81.35
2025-04-03 02,95.58,,,6.50,25.23,73.03,44.14,77.27
2025-04-03 03,89.89,84.64,54.45,5.70,28.93,68.32,40.55,74.29
2025-04-03 04,84.99,82.44,,,26.88,64.87,,70.53
2025-04-03 05,76.12,77.55,52.91,6.05,,56.84,38.86,66.26
2025-04-03 06,73.55,,,5.23,27.42,,,
2025-04-03 07,,75.21,44.01,,26.56,53.15,33.60,67.77
2025-04-03 08,79.57,84.44,55.14,5.08,41.11,56.69,36.71,74.64
2025-04-03 09,88.23,84.47,67.71,,47.98,61.16,40.36,76.72
2025-04-03 10,92.07,87.35,69.92,4.25,,67.40,43.16,71.19
2025-04-03 11,91.98,,72.00,4.41,43.52,,42.12,
2025-04-03 12,100.83,87.06,65.98,4.88,48.06,72.20,38.48,77.30
2025-04-03 13,102.19,86.66,,4.72,49.15,72.97,,
2025-04-03 14,105.82,92.82,64.38,5.10,49.65,76.20,40.34,90.33
2025-04-03 15,116.05,99.42,,4.34,,85.20,41.98,91.40
2025-04-03 16,105.71,101.50,70.15,4.13,49.89,75.13,42.82,72.76
2025-04-03 17,92.24,78.83,,,,,39.80,
2025-04-03 18,,,66.68,3.72,44.37,68.24,,60.72
2025-04-03 19,102.82,85.10,81.30,4.01,46.04,80.45,44.45,70.40
2025-04-03 20,,79.05,73.38,,46.20,77.60,43.36,66.05
2025-04-03 21,97.77,76.82,67.90,3.62,47.90,73.89,42.09,
2025-04-03 22,98.70,,64.81,3.63,44.47,,,65.58
2025-04-03 23,107.22,84.30,59.72,4.80,44.58,72.03,41.47,84.10
2025-04-04 00,119.18,90.40,,5.33,27.44,85.15,43.62,92.68
2025-04-04 01,115.55,98.50,60.63,6.17,,84.41,46.88,89.90
2025-04-04 02,108.56,96.64,56.37,7.08,26.72,82.65,46.04,87.47
2025-04-04 03,100.76,91.57,53.79,6.20,31.48,76.72,43.05,80.76
2025-04-04 04,98.00,88.08,,5.61,29.08,73.64,,79.82
2025-04-04 05,86.65,,53.13,5.58,25.88,64.84,41.25,76.01
2025-04-04 06,80.54,82.87,42.94,,,60.00,35.64,
2025-04-04 07,,85.13,,4.78,28.26,,,75.21
2025-04-04 08,91.26,88.16,54.44,5.10,33.08,64.34,36.04,81.13
2025-04-04 09,,89.62,67.15,3.84,36.75,65.19,42.72,77.46
2025-04-04 10,97.87,89.58,73.64,3.71,43.02,69.13,43.98,
2025-04-04 11,103.39,,69.86,,46.13,69.06,38.35,76.89
2025-04-04 12,,86.18,,3.82,,,,
2025-04-04 13,107.96,89.26,63.46,3.57,43.61,67.58,37.16,77.82
2025-04-04 14,116.52,110.38,66.62,4.98,48.72,80.69,45.82,94.85
2025-04-04 15,119.86,106.09,67.85,4.15,52.37,91.28,51.11,99.77
2025-04-04 16,,96.38,,2.71,49.87,76.70,47.35,83.81
2025-04-04 17,99.13,76.23,72.12,2.96,,,43.20,64.16
2025-04-04 18,94.05,,,,50.76,67.85,46.92,
2025-04-04 19,103.03,81.64,76.78,5.29,52.84,81.08,45.49,71.68
2025-04-04 20,96.76,81.32,73.54,,49.92,74.24,43.60,59.28
2025-04-04 21,,74.11,71.72,3.49,47.02,76.34,41.22,
2025-04-04 22,99.28,,63.14,4.06,47.26,71.16,,65.92
2025-04-04 23,106.26,94.47,58.95,4.85,44.49,,41.05,76.19
2025-04-05 00,116.15,,56.69,5.19,25.45,78.91,42.78,86.88
2025-04-05 01,122.30,102.75,55.17,6.20,,83.07,45.02,91.23
2025-04-05 02,115.33,99.86,52.74,7.60,24.79,86.91,44.11,85.59
2025-04-05 03,107.05,95.78,,6.72,29.34,81.70,43.54,81.84
2025-04-05 04,98.78,89.93,52.00,6.09,30.10,76.15,,
2025-04-05 05,87.51,83.19,44.71,6.28,26.71,63.49,42.56,79.63
2025-04-05 06,,,,,26.94,59.58,,
2025-04-05 07,79.87,78.01,41.25,5.11,,,38.91,73.44
2025-04-05 08,90.93,91.16,53.32,5.19,41.72,63.30,46.42,79.72
2025-04-05 09,91.13,91.53,66.15,5.32,43.80,72.81,59.45,79.43
2025-04-05 10,97.80,,70.15,,48.15,77.00,60.54,70.78
2025-04-05 11,96.55,89.12,74.08,4.31,48.91,78.11,67.82,
2025-04-05 12,102.03,95.23,75.11,4.89,50.60,81.73,58.07,72.70
2025-04-05 13,109.74,,66.95,4.92,48.90,,,82.44
2025-04-05 14,120.91,107.16,64.65,5.35,,84.01,51.05,93.04
2025-04-05 15,113.46,102.73,,4.29,50.67,86.93,50.60,99.64
2025-04-05 16,101.50,89.86,68.06,3.55,51.39,78.36,50.50,77.24
2025-04-05 17,90.93,,69.47,3.31,57.34,70.21,,
2025-04-05 18,,87.60,,,56.02,,46.44,73.55
2025-04-05 19,102.40,,76.92,4.01,,83.97,47.07,68.44
2025-04-05 20,,84.54,72.51,3.75,50.99,79.95,47.36,
2025-04-05 21,99.77,81.20,72.56,4.67,,81.70,,71.43
2025-04-05 22,108.17,90.25,68.95,,46.36,,45.10,85.26
2025-04-05 23,111.63,95.79,59.94,5.20,42.85,80.99,,85.27
2025-04-06 00,117.87,,55.99,5.16,29.47,82.03,42.16,85.30
2025-04-06 01,108.02,95.95,53.13,6.12,,83.38,43.11,82.71
2025-04-06 02,104.14,,52.96,6.02,25.68,,42.17,76.78
2025-04-06 03,97.40,87.84,47.96,,28.67,80.42,38.82,71.55
2025-04-06 04,93.52,82.72,45.29,5.83,,73.26,38.19,71.22
2025-04-06 05,82.62,73.03,43.83,4.97,28.74,61.41,,61.64
2025-04-06 06,67.30,,,3.57,,,47.11,52.17
2025-04-06 07,,74.52,43.20,3.35,28.21,50.63,54.30,
2025-04-06 08,66.71,82.11,54.57,4.15,32.78,55.39,56.09,52.22
2025-04-06 09,73.16,87.66,63.18,3.97,36.61,63.31,60.19,53.72
2025-04-06 10,78.93,,69.28,3.60,48.17,64.66,64.32,
2025-04-06 11,,87.19,68.78,,51.68,66.42,63.09,51.40
2025-04-06 12,88.70,93.50,69.44,4.15,52.17,70.27,63.50,55.08
2025-04-06 13,95.97,98.13,,3.72,,,,69.96
2025-04-06 14,125.95,110.19,65.20,4.69,52.14,84.20,56.06,98.57
2025-04-06 15,126.86,104.86,,4.95,54.04,90.38,61.00,107.76
2025-04-06 16,111.35,97.93,72.72,4.70,50.99,78.06,62.11,84.01
2025-04-06 17,101.46,,68.51,3.75,,,47.67,63.47
2025-04-06 18,,84.19,,,53.75,72.78,47.21,
2025-04-06 19,103.91,,74.18,3.76,52.77,83.87,,76.37
2025-04-06 20,,81.07,69.30,,49.06,79.78,48.37,
2025-04-06 21,100.61,,68.50,4.10,47.13,,,69.58
2025-04-06 22,105.84,85.14,66.21,4.88,41.87,80.29,45.47,80.38
2025-04-06 23,117.82,96.92,55.56,4.80,38.69,79.84,47.33,86.77
2025-04-07 00,115.17,,,6.39,29.02,84.10,44.17,90.91
2025-04-07 01,112.12,94.76,51.75,6.53,,87.78,43.11,86.99
2025-04-07 02,108.43,90.21,53.51,6.02,24.05,86.97,,81.81
2025-04-07 03,103.10,,48.87,,25.31,79.51,42.36,78.53
2025-04-07 04,97.66,87.91,,5.14,28.33,75.50,40.11,74.52
2025-04-07 05,82.31,79.76,47.70,,26.43,64.40,,66.74
2025-04-07 06,71.68,,,4.15,,53.21,47.08,55.07
2025-04-07 07,,78.05,43.33,3.96,25.46,,57.66,
2025-04-07 08,73.17,88.73,54.85,3.85,33.36,55.51,63.97,58.92
2025-04-07 09,88.00,89.67,66.21,4.31,39.04,67.99,63.75,
2025-04-07 10,84.89,,71.58,,40.75,71.24,66.05,57.57
2025-04-07 11,,89.10,,4.83,,,67.49,59.67
2025-04-07 12,89.99,103.09,72.51,5.26,41.37,75.34,65.98,
2025-04-07 13,103.77,,69.57,4.92,,,,79.57
2025-04-07 14,134.10,112.59,,,48.61,90.15,62.36,103.38
2025-04-07 15,134.35,108.17,68.22,5.33,49.41,101.56,66.80,109.81
2025-04-07 16,115.99,95.89,71.47,3.94,51.92,83.98,67.61,90.91
2025-04-07 17,103.16,83.75,,,50.00,,55.23,74.91
2025-04-07 18,,89.11,69.79,4.16,,76.12,,
2025-04-07 19,109.19,87.13,76.97,3.72,49.65,87.19,52.47,80.53
2025-04-07 20,108.65,,,,48.66,84.60,,
2025-04-07 21,,84.47,73.08,4.37,46.29,,50.57,77.84
2025-04-07 22,115.21,95.03,67.46,,43.35,89.42,51.02,97.11
2025-04-07 23,127.20,100.76,58.10,5.63,42.15,89.87,,
2025-04-08 00,124.06,109.12,52.00,6.30,31.32,91.81,52.27,98.15
2025-04-08 01,124.84,100.83,53.85,,30.82,91.15,45.92,
2025-04-08 02,119.89,98.75,52.99,6.45,,,,92.60
2025-04-08 03,110.32,94.79,48.52,6.05,31.14,88.39,44.77,84.20
2025-04-08 04,106.15,87.25,47.48,5.82,29.72,78.62,41.88,83.41
2025-04-08 05,85.96,82.05,43.26,5.17,28.48,66.08,,73.98
2025-04-08 06,,,,4.60,,52.22,48.31,
2025-04-08 07,72.66,80.83,41.00,3.90,28.26,,59.61,58.16
2025-04-08 08,76.78,91.18,53.59,,36.87,59.33,61.41,59.87
2025-04-08 09,83.43,96.67,66.99,4.23,45.03,66.30,69.91,57.61
2025-04-08 10,86.52,97.30,71.34,,49.16,70.34,77.76,
2025-04-08 11,87.60,,74.40,3.94,49.63,72.62,72.83,55.15
2025-04-08 12,98.46,94.13,72.67,4.67,47.21,76.22,,63.06
2025-04-08 13,118.47,104.13,71.38,4.64,,81.40,74.45,80.64
2025-04-08 14,140.66,115.13,,,53.50,94.41,67.11,105.38
2025-04-08 15,134.40,116.93,69.17,5.42,,100.05,,113.56
2025-04-08 16,114.45,101.17,73.26,4.86,56.87,86.19,68.86,86.65
2025-04-08 17,104.68,82.58,70.24,,,76.75,53.56,73.45
2025-04-08 18,116.46,,,3.71,54.27,,,
2025-04-08 19,107.85,90.91,77.42,,53.98,85.74,52.71,81.35
2025-04-08 20,,88.17,,3.57,,83.12,,
2025-04-08 21,109.59,93.30,74.29,3.62,54.11,81.84,47.70,79.71
2025-04-08 22,116.06,,68.94,4.88,47.79,,51.43,98.46
2025-04-08 23,128.38,108.18,61.45,6.15,,90.84,,
2025-04-09 00,126.49,105.58,57.56,6.26,45.25,94.00,50.99,100.29
2025-04-09 01,124.93,,54.92,6.01,,94.12,46.83,93.37
2025-04-09 02,,102.73,,,32.10,,45.76,93.64
2025-04-09 03,118.99,92.90,53.57,5.84,30.78,91.45,45.60,90.53
2025-04-09 04,109.41,89.61,48.24,6.18,,82.53,46.29,87.38
2025-04-09 05,93.28,81.21,43.57,5.30,29.62,65.54,,74.59
2025-04-09 06,77.13,,,,27.48,57.42,52.40,64.27
2025-04-09 07,,84.29,42.23,4.26,,,62.05,61.20
2025-04-09 08,79.34,88.58,54.89,3.87,33.65,60.24,63.87,61.42
2025-04-09 09,86.22,92.05,68.24,3.85,38.35,68.48,67.22,58.99
2025-04-09 10,,92.41,73.64,3.46,41.22,75.12,,
2025-04-09 11,85.02,,73.67,,43.27,,74.71,59.75
2025-04-09 12,94.30,94.90,72.63,4.03,48.36,79.66,71.60,65.28
2025-04-09 13,111.42,103.76,,,47.17,,,79.84
2025-04-09 14,138.33,112.34,69.93,4.22,50.01,107.20,67.03,105.25
2025-04-09 15,145.32,121.21,70.96,5.60,52.17,102.02,65.77,117.92
2025-04-09 16,121.48,103.74,73.57,4.16,55.33,91.16,63.37,96.55
2025-04-09 17,107.19,,67.75,3.28,57.10,81.18,55.21,75.54
2025-04-09 18,108.94,89.89,,3.93,56.46,,51.70,
2025-04-09 19,108.37,,79.18,3.88,,87.25,51.96,86.55
2025-04-09 20,109.50,89.11,73.77,,49.84,86.87,,
2025-04-09 21,,91.25,68.86,4.50,52.15,,52.02,81.79
2025-04-09 22,116.83,95.01,64.57,,50.95,85.96,49.06,92.01
2025-04-09 23,128.76,104.13,62.10,5.60,47.18,91.41,48.15,98.10
2025-04-10 00,131.64,106.60,57.44,6.80,32.96,94.18,,
2025-04-10 01,127.78,103.88,51.78,6.75,33.21,95.75,45.73,98.79
2025-04-10 02,123.86,99.45,51.18,,,94.49,45.50,90.19
2025-04-10 03,119.18,99.53,50.25,6.84,33.36,90.75,44.15,86.00
2025-04-10 04,112.23,95.91,48.24,6.56,29.97,84.04,42.35,86.00
2025-04-10 05,98.68,,44.45,5.36,31.60,70.56,,76.76
2025-04-10 06,79.97,86.12,,4.06,,60.25,48.99,61.58
2025-04-10 07,82.69,88.48,43.79,4.00,29.20,,60.73,65.72
2025-04-10 08,,88.92,55.05,3.72,41.03,62.57,61.10,65.91
2025-04-10 09,86.31,97.49,69.77,3.78,43.89,70.61,70.33,
2025-04-10 10,87.56,,72.04,,44.64,71.62,69.03,63.64
2025-04-10 11,87.22,97.68,72.62,4.26,,70.17,67.33,
2025-04-10 12,100.77,,73.20,4.69,46.44,76.98,67.52,68.70
2025-04-10 13,108.26,108.01,,,50.67,,,80.41
2025-04-10 14,136.13,123.21,70.18,4.63,49.16,101.40,63.14,113.62
2025-04-10 15,143.52,127.05,69.13,4.97,,104.77,,115.36
2025-04-10 16,120.87,109.27,73.00,3.68,47.32,89.20,64.76,95.36
2025-04-10 17,,95.67,76.53,,48.12,78.05,52.36,77.86
2025-04-10 18,108.93,,,3.11,49.12,,53.40,89.30
2025-04-10 19,118.98,102.78,84.26,3.78,49.56,89.31,51.49,
2025-04-10 20,,100.27,76.80,3.85,53.35,,,83.78
2025-04-10 21,115.70,,75.11,4.61,51.20,89.53,47.26,80.72
2025-04-10 22,123.96,98.90,74.33,6.12,51.86,88.89,49.15,88.74
2025-04-10 23,,106.82,68.86,,46.72,89.34,48.25,100.33
2025-04-11 00,134.83,116.74,59.61,6.33,29.55,98.49,,105.88
2025-04-11 01,133.42,112.69,59.14,6.80,,,49.76,104.34
2025-04-11 02,128.60,109.66,,,29.87,99.96,,97.14
2025-04-11 03,120.47,102.84,57.37,6.56,31.86,92.00,47.57,92.44
2025-04-11 04,110.78,97.46,51.24,5.87,28.45,85.49,44.90,88.67
2025-04-11 05,97.39,90.55,47.39,5.57,26.16,76.50,41.62,80.64
2025-04-11 06,,,,,27.38,66.27,,78.01
2025-04-11 07,95.19,95.38,46.25,4.97,,,38.48,
2025-04-11 08,,105.30,57.20,5.41,39.92,71.79,42.60,84.99
2025-04-11 09,96.95,104.01,68.25,4.29,45.02,71.09,51.99,
2025-04-11 10,106.64,98.05,71.53,,,75.72,49.37,79.90
2025-04-11 11,104.39,92.27,74.07,3.82,45.12,68.95,43.74,76.78
2025-04-11 12,,,,4.47,47.52,,,
2025-04-11 13,119.14,102.48,65.76,,,77.07,43.90,82.18
2025-04-11 14,143.81,118.45,67.12,5.36,49.53,99.53,50.58,100.76
2025-04-11 15,134.42,117.78,69.03,4.75,53.01,104.56,,107.80
2025-04-11 16,117.53,104.24,77.77,3.08,58.71,90.82,54.99,83.31
2025-04-11 17,107.20,88.17,74.26,2.93,,75.69,,65.92
2025-04-11 18,,,,3.55,56.68,,48.00,
2025-04-11 19,110.75,98.98,81.26,3.52,,82.66,52.91,76.39
2025-04-11 20,112.93,94.63,74.83,,56.13,83.22,47.21,72.20
2025-04-11 21,,,70.62,3.46,,81.83,,
2025-04-11 22,125.54,93.84,66.08,4.69,51.48,82.27,48.84,76.80
2025-04-11 23,,103.64,62.26,5.35,43.58,87.26,,93.34
2025-04-12 00,131.52,106.89,59.74,6.21,,97.53,47.27,105.68
2025-04-12 01,134.84,113.09,57.78,6.68,29.44,102.10,46.86,101.34
2025-04-12 02,128.03,105.99,55.21,6.77,28.77,96.83,46.88,99.47
2025-04-12 03,,106.92,54.88,,32.95,93.62,46.19,95.64
2025-04-12 04,120.40,101.31,52.50,7.05,,89.26,43.46,93.93
2025-04-12 05,101.99,95.83,47.51,5.90,29.99,73.90,40.36,82.80
2025-04-12 06,,,44.45,5.02,29.84,66.78,40.69,
2025-04-12 07,98.31,92.29,,4.75,,,,86.21
2025-04-12 08,,94.09,59.02,,41.88,67.74,45.91,
2025-04-12 09,105.47,98.22,70.53,5.07,50.00,77.14,53.84,83.03
2025-04-12 10,,,78.69,5.14,52.84,,,
2025-04-12 11,108.05,97.83,77.68,,,78.33,54.00,80.51
2025-04-12 12,114.15,100.87,76.38,5.42,59.62,90.34,54.20,89.29
2025-04-12 13,124.93,108.99,72.44,5.16,58.42,,,102.57
2025-04-12 14,146.99,124.91,72.51,,,104.01,55.96,123.56
2025-04-12 15,146.97,117.98,,5.07,58.79,107.47,,121.53
2025-04-12 16,120.80,107.71,78.86,,59.56,93.72,54.54,91.89
2025-04-12 17,111.00,,74.81,3.53,,,54.07,
2025-04-12 18,,91.61,,,60.87,81.59,,76.85
2025-04-12 19,125.69,109.68,84.47,4.25,,98.82,55.20,95.73
2025-04-12 20,,105.71,,,58.32,101.69,55.52,93.39
2025-04-12 21,130.79,,84.38,3.81,,105.65,,
2025-04-12 22,136.97,111.63,82.88,4.88,54.30,106.06,59.89,103.70
2025-04-12 23,142.34,119.24,71.62,6.72,53.15,,53.51,112.15
2025-04-13 00,146.01,123.05,63.85,7.85,33.53,110.95,52.88,109.91
2025-04-13 01,139.52,116.18,60.57,,,111.26,49.18,103.50
2025-04-13 02,135.52,110.12,58.58,7.75,32.68,107.08,50.61,99.20
2025-04-13 03,129.42,105.12,55.15,7.40,33.30,102.15,46.86,93.91
2025-04-13 04,124.75,103.44,,6.89,33.24,96.26,47.18,94.12
2025-04-13 05,103.50,96.30,53.57,6.69,31.42,81.21,,81.81
2025-04-13 06,89.05,,,,,70.07,52.22,66.62
2025-04-13 07,,96.29,48.08,5.36,31.92,70.87,66.70,
2025-04-13 08,95.92,104.11,59.15,,62.20,,74.61,68.16
2025-04-13 09,,110.69,76.51,4.42,73.61,79.13,81.52,66.18
2025-04-13 10,104.55,,85.48,,68.25,85.33,83.02,
2025-04-13 11,,107.10,,4.76,,,,71.00
2025-04-13 12,128.06,115.90,85.17,,70.39,98.78,83.32,78.88
2025-04-13 13,,132.37,78.08,4.50,65.22,,,99.26
2025-04-13 14,162.00,131.77,77.68,5.76,64.44,117.66,72.56,130.01
2025-04-13 15,158.14,126.07,,6.59,64.22,122.51,77.21,128.15
2025-04-13 16,136.44,110.67,83.78,5.68,,102.75,73.61,100.32
2025-04-13 17,123.39,,78.69,3.27,63.28,85.95,64.09,80.50
2025-04-13 18,,98.06,,,63.39,,,
2025-04-13 19,130.43,108.26,87.51,3.90,59.78,103.39,59.97,98.60
2025-04-13 20,,,,3.96,58.55,105.41,55.02,
2025-04-13 21,130.16,101.68,79.44,4.35,50.51,,53.97,96.04
2025-04-13 22,137.04,106.32,75.84,4.86,49.56,99.96,,107.45
2025-04-13 23,137.89,114.23,65.32,6.18,47.13,108.36,57.29,112.28
2025-04-14 00,,116.02,63.59,7.32,40.65,,,108.78
2025-04-14 01,140.94,118.72,60.87,7.56,,113.52,53.85,105.60
2025-04-14 02,132.21,110.56,56.30,7.37,40.94,,51.87,101.03
2025-04-14 03,127.09,105.78,53.09,6.65,45.25,109.40,48.30,96.95
2025-04-14 04,119.13,98.81,,6.59,41.82,97.93,45.75,93.65
2025-04-14 05,102.75,,52.31,6.02,,78.42,,74.23
2025-04-14 06,90.11,96.42,,4.37,39.46,66.24,51.97,67.34
2025-04-14 07,,99.06,47.73,,39.99,,64.34,
2025-04-14 08,94.32,102.37,,4.00,46.19,70.10,69.92,65.36
2025-04-14 09,,110.04,48.14,4.20,51.86,79.43,79.16,
2025-04-14 10,102.29,,53.06,3.68,57.06,84.10,75.65,65.39
2025-04-14 11,103.25,111.73,81.24,,,86.37,,64.81
2025-04-14 12,109.90,112.75,82.36,4.47,57.83,95.20,78.06,73.55
2025-04-14 13,130.04,119.18,78.04,5.23,,,69.83,95.10
2025-04-14 14,157.30,130.32,,5.86,66.43,119.23,,123.14
2025-04-14 15,151.92,125.44,76.50,6.67,64.70,115.64,74.68,126.32
2025-04-14 16,127.40,108.20,79.31,4.13,61.86,101.84,69.22,100.23
2025-04-14 17,114.88,95.63,78.08,3.71,,86.40,64.88,83.72
2025-04-14 18,,,,,58.52,,60.69,
2025-04-14 19,127.84,103.63,84.33,4.73,,102.44,,97.81
2025-04-14 20,,,,4.67,55.78,99.39,59.96,98.87
2025-04-14 21,130.29,105.02,83.29,,53.63,,60.87,100.02
2025-04-14 22,140.40,113.16,81.70,5.10,,101.59,61.80,109.75
2025-04-14 23,152.13,121.81,68.57,6.47,52.93,106.23,,119.48
2025-04-15 00,150.59,124.58,63.62,7.10,,112.36,57.48,112.02
2025-04-15 01,143.69,,61.14,7.88,30.53,110.88,51.89,106.72
2025-04-15 02,137.52,119.39,58.58,6.94,,103.93,50.69,100.30
2025-04-15 03,132.56,111.79,55.09,,34.48,102.09,48.88,98.22
2025-04-15 04,123.21,108.07,55.39,7.38,34.25,97.36,47.74,93.83
2025-04-15 05,107.13,100.30,49.29,5.60,33.06,82.22,,81.13
2025-04-15 06,91.25,,,4.38,,70.95,50.80,72.20
2025-04-15 07,,103.16,48.58,4.41,30.34,,64.78,
2025-04-15 08,89.89,106.18,63.28,4.41,44.94,75.90,74.96,69.98
2025-04-15 09,.00,111.45,.01,4.23,.00,84.63,.00,68.56
2025-04-15 10,,,.01,,.01,85.39,.00,
2025-04-15 11,.01,113.00,.01,4.15,,,,67.59
2025-04-15 12,,112.14,,3.81,57.48,93.12,79.19,77.04
2025-04-15 13,125.25,134.92,74.97,,62.17,,,98.43
2025-04-15 14,157.76,137.23,84.60,5.48,63.80,119.02,69.54,125.59
2025-04-15 15,152.20,130.60,,6.33,62.23,112.28,75.69,128.97
2025-04-15 16,125.31,112.97,85.35,4.17,,99.91,69.45,108.84
2025-04-15 17,,99.57,82.58,,72.75,85.93,58.16,79.34
2025-04-15 18,112.18,,,3.75,64.18,,,
2025-04-15 19,127.34,110.83,85.67,3.97,63.71,100.24,57.97,105.82
2025-04-15 20,130.21,,,,,104.15,,
2025-04-15 21,145.20,119.68,85.14,5.36,55.36,109.40,60.94,104.17
2025-04-15 22,153.17,,83.51,,52.05,,62.83,113.37
2025-04-15 23,156.79,133.98,70.58,6.89,48.97,114.60,59.45,120.09
2025-04-16 00,,126.67,64.13,7.97,,115.35,56.11,120.08
2025-04-16 01,152.44,125.16,63.14,7.78,33.37,112.55,53.28,113.59
2025-04-16 02,143.06,120.62,60.37,7.65,35.20,109.18,53.38,109.55
2025-04-16 03,135.27,,57.45,,32.27,102.25,49.57,104.15
2025-04-16 04,129.32,114.06,56.79,7.32,,101.53,48.08,102.91
2025-04-16 05,109.87,101.00,49.63,5.89,32.78,85.02,,86.59
2025-04-16 06,89.94,,,4.85,,71.14,53.92,73.98
2025-04-16 07,90.84,102.12,49.02,4.57,32.27,,64.06,
2025-04-16 08,,110.81,66.30,4.53,39.44,74.71,71.65,72.73
2025-04-16 09,94.94,116.58,80.88,4.44,44.01,78.36,76.60,70.97
2025-04-16 10,99.44,119.11,84.51,4.50,74.20,80.73,79.38,
2025-04-16 11,102.82,,81.23,4.56,66.33,,77.58,69.13
2025-04-16 12,110.83,119.40,,,62.52,95.35,65.44,81.07
2025-04-16 13,133.47,133.58,79.54,5.05,63.53,,,104.75
2025-04-16 14,162.43,140.41,81.23,5.63,63.90,119.73,71.60,128.74
2025-04-16 15,162.72,137.80,,5.49,,115.74,75.11,135.12
2025-04-16 16,137.80,119.73,85.20,4.85,67.33,99.80,69.33,110.18
2025-04-16 17,115.65,100.43,75.25,3.78,59.78,87.79,62.48,89.02
2025-04-16 18,,,,,60.32,,,
2025-04-16 19,129.22,113.35,86.33,4.39,61.04,102.16,58.98,104.08
2025-04-16 20,132.81,,83.57,4.17,60.44,,59.36,
2025-04-16 21,136.32,113.24,87.40,4.20,55.71,105.34,58.39,105.02
2025-04-16 22,144.92,120.56,82.09,5.70,54.30,,,115.87
2025-04-16 23,159.88,130.51,70.87,6.40,52.44,110.79,60.73,124.30
2025-04-17 00,159.69,126.01,64.05,7.88,47.17,114.47,54.73,120.21
2025-04-17 01,153.96,126.03,61.95,8.14,,115.19,53.29,114.10
2025-04-17 02,147.21,119.40,58.46,7.73,33.72,112.39,53.25,109.43
2025-04-17 03,143.21,117.41,58.24,,35.67,106.25,51.92,105.24
2025-04-17 04,133.94,109.37,55.52,7.21,,97.81,49.25,101.96
2025-04-17 05,113.98,102.38,51.36,7.35,32.96,81.27,,88.60
2025-04-17 06,,,,5.32,,69.66,55.45,75.71
2025-04-17 07,93.78,105.46,50.42,,31.09,,65.23,75.68
2025-04-17 08,102.87,113.03,68.09,4.53,41.88,75.56,72.37,
2025-04-17 09,,116.08,80.61,,42.82,81.07,76.04,72.25
2025-04-17 10,106.35,,88.17,4.85,44.17,84.16,,73.70
2025-04-17 11,103.38,116.96,,,49.56,90.16,77.73,
2025-04-17 12,114.50,120.34,87.79,3.98,,90.57,77.48,77.95
2025-04-17 13,136.82,131.90,78.15,,49.06,,67.91,102.40
2025-04-17 14,164.44,138.27,76.39,5.38,53.56,111.82,,133.69
