,PS:AL KHABOURAH 01,,,,,,,
Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I
2025-06-09 07,157.95,143.87,69.74,74.75,34.28,108.78,71.79,118.44
2025-06-09 08,157.64,,90.28,72.94,68.72,113.28,79.37,120.71
2025-06-09 09,168.38,141.26,105.08,,70.10,122.52,87.53,124.40
2025-06-09 10,173.62,148.22,108.29,69.13,70.27,125.66,80.79,126.51
2025-06-09 11,172.89,152.86,109.90,71.40,,125.50,77.16,130.84
2025-06-09 12,183.77,154.22,110.10,76.64,68.12,137.51,75.28,139.49
2025-06-09 13,190.76,158.21,,78.09,,137.09,,148.41
2025-06-09 14,198.58,158.87,97.12,81.24,66.55,142.52,73.79,154.74
2025-06-09 15,188.96,158.28,,83.60,64.92,,73.98,158.06
2025-06-09 16,163.39,133.32,99.79,64.29,66.46,135.11,73.92,118.58
2025-06-09 17,151.54,,,,67.24,,,
2025-06-09 18,,119.52,91.64,47.96,65.50,110.32,69.25,108.36
2025-06-09 19,173.65,143.50,103.14,65.25,61.76,122.49,71.43,134.17
2025-06-09 20,176.37,,103.66,68.56,,126.26,72.81,
2025-06-09 21,173.80,141.51,94.46,69.54,60.88,127.34,68.51,137.64
2025-06-09 22,177.37,141.96,89.81,76.89,,125.22,,137.83
2025-06-09 23,181.76,150.40,,80.39,58.49,127.94,69.08,138.42
2025-06-10 00,182.01,150.12,77.63,83.38,,135.11,,
2025-06-10 01,,,73.63,,32.33,131.56,67.33,134.23
2025-06-10 02,173.27,143.59,71.41,78.17,34.10,130.36,64.91,133.16
2025-06-10 03,,139.84,67.62,78.50,36.45,126.93,64.69,132.18
2025-06-10 04,166.57,,66.08,79.22,,112.59,,130.61
2025-06-10 05,142.04,129.76,63.14,65.76,34.72,,62.51,
2025-06-10 06,,140.81,61.69,,35.61,102.02,73.14,113.27
2025-06-10 07,139.24,147.65,68.12,62.92,34.59,,76.16,110.45
2025-06-10 08,140.47,148.20,88.86,61.97,61.89,108.09,84.04,107.49
2025-06-10 09,145.61,151.24,100.70,58.99,64.02,115.40,88.64,107.32
2025-06-10 10,152.03,149.79,105.46,56.05,62.58,120.05,88.73,112.04
2025-06-10 11,163.50,162.19,102.91,65.36,65.25,122.32,87.64,124.30
2025-06-10 12,178.23,167.99,99.98,73.83,67.75,126.16,89.18,138.14
2025-06-10 13,195.15,174.18,,82.22,,139.66,,147.57
2025-06-10 14,210.56,169.39,95.38,89.51,66.83,148.39,82.02,154.62
2025-06-10 15,211.82,165.40,95.42,92.64,65.95,138.78,,162.87
2025-06-10 16,167.83,160.79,101.56,68.54,70.83,129.44,80.76,125.42
2025-06-10 17,148.57,128.69,,52.19,70.04,113.02,71.60,107.14
2025-06-10 18,,,94.46,,72.44,,,
2025-06-10 19,161.08,138.33,106.12,67.53,,122.71,74.34,125.47
2025-06-10 20,167.94,140.47,106.78,68.81,67.15,125.88,,
2025-06-10 21,166.18,142.55,96.67,,65.99,124.05,77.57,126.71
2025-06-10 22,174.47,,87.59,75.30,59.58,124.82,72.83,136.06
2025-06-10 23,179.23,144.60,78.05,82.97,,129.26,73.74,141.73
2025-06-11 00,181.87,144.83,,81.81,33.87,135.77,71.21,136.92
2025-06-11 01,178.42,143.85,72.20,83.25,34.06,,66.86,131.78
2025-06-11 02,173.88,140.82,,79.75,35.30,130.05,65.83,
2025-06-11 03,168.67,139.27,66.68,80.66,36.52,128.19,63.81,131.28
2025-06-11 04,166.19,141.20,65.58,79.47,36.81,124.14,,132.27
2025-06-11 05,154.56,,63.03,73.79,,,68.00,111.23
2025-06-11 06,141.44,134.48,61.41,66.21,35.89,103.79,74.24,107.32
2025-06-11 07,135.22,137.07,65.44,61.23,39.11,99.53,77.67,
2025-06-11 08,141.04,142.97,85.30,57.61,68.84,103.88,89.40,106.34
2025-06-11 09,145.19,147.91,98.37,57.26,71.22,116.72,90.68,104.96
2025-06-11 10,152.48,155.62,104.15,57.89,71.55,117.06,92.24,109.96
2025-06-11 11,165.96,165.68,103.48,66.55,65.73,127.58,91.56,125.95
2025-06-11 12,175.74,176.20,106.38,74.30,69.92,130.14,90.37,139.91
2025-06-11 13,189.25,183.17,,83.84,67.43,141.90,,155.67
2025-06-11 14,204.41,174.70,97.69,88.90,69.98,148.83,81.59,160.36
2025-06-11 15,202.55,159.57,,91.10,72.15,152.51,78.94,159.59
2025-06-11 16,166.87,141.39,104.39,66.86,70.24,130.04,78.91,125.09
2025-06-11 17,144.04,,,,71.82,116.40,77.71,102.72
2025-06-11 18,,127.78,95.34,50.36,66.52,,,
2025-06-11 19,162.74,142.55,105.93,62.58,,117.37,71.15,120.62
2025-06-11 20,165.55,143.08,,65.47,65.11,123.61,75.09,125.26
2025-06-11 21,168.79,140.98,100.99,,64.27,123.93,,
2025-06-11 22,176.37,143.84,99.10,69.22,49.12,125.18,70.21,129.22
2025-06-11 23,189.29,153.24,88.11,81.51,37.96,137.29,71.96,139.93
2025-06-12 00,183.70,157.93,,85.10,,141.19,67.14,141.61
2025-06-12 01,,,72.48,82.11,35.38,140.10,,141.03
2025-06-12 02,181.90,147.40,70.67,,38.10,141.13,65.67,
2025-06-12 03,180.92,142.52,69.23,82.58,41.37,134.81,66.36,136.78
2025-06-12 04,157.77,,68.70,77.48,,121.91,,127.05
2025-06-12 05,149.05,137.58,,,37.06,108.61,68.34,115.87
2025-06-12 06,,141.73,61.56,69.74,38.70,,74.37,
2025-06-12 07,144.00,148.31,71.91,,44.61,107.36,75.78,114.07
2025-06-12 08,150.46,150.72,89.42,64.97,64.98,109.05,87.70,
2025-06-12 09,153.61,157.18,105.66,64.54,67.06,118.73,90.25,115.60
2025-06-12 10,163.79,164.22,110.63,61.22,66.21,130.42,89.11,123.40
2025-06-12 11,173.25,167.94,113.81,64.48,67.93,134.54,,127.80
2025-06-12 12,184.05,179.77,106.95,74.33,71.43,139.65,87.28,139.84
2025-06-12 13,202.74,188.39,,87.18,69.69,143.82,,156.30
2025-06-12 14,214.11,,102.16,97.46,69.80,158.09,82.18,170.40
2025-06-12 15,215.34,178.88,104.62,90.55,72.70,159.21,,174.16
2025-06-12 16,174.04,148.54,109.21,66.24,73.39,137.03,80.70,131.99
2025-06-12 17,,,99.39,,71.94,121.02,,105.50
2025-06-12 18,154.53,137.16,,50.08,72.09,,73.41,
